epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6516,1.71221,4.21389,1.5674,0.03462,0.42201,0.04761,0.03115,1.18109,3.49589,1.17849,0.000106106,0.000106106,0.000106106
2,71.2999,1.35546,2.97005,1.30832,0.5271,0.27978,0.22932,0.15351,1.17872,2.14804,1.32476,0.00020954,0.00020954,0.00020954
3,104.123,1.33587,2.19365,1.33343,0.6973,0.43511,0.42911,0.28946,1.18342,1.38973,1.37159,0.000308711,0.000308711,0.000308711
4,137.551,1.32189,1.74655,1.32743,0.72196,0.50008,0.54887,0.37702,1.14992,1.08848,1.35864,0.000303814,0.000303814,0.000303814
5,170.391,1.27266,1.48442,1.29142,0.7331,0.58623,0.65596,0.44994,1.11393,0.95645,1.33686,0.000297418,0.000297418,0.000297418
6,201.006,1.25014,1.34504,1.28949,0.66974,0.78215,0.81625,0.56257,1.13236,0.83151,1.32126,0.000291023,0.000291023,0.000291023
7,238.648,1.25528,1.25783,1.2821,0.79476,0.82136,0.86056,0.59203,1.15496,0.82206,1.33085,0.000284628,0.000284628,0.000284628
8,272.163,1.23447,1.17436,1.26771,0.86762,0.86743,0.89644,0.62722,1.09885,0.74924,1.27488,0.000278232,0.000278232,0.000278232
9,304.243,1.21608,1.12071,1.2483,0.8458,0.87392,0.87894,0.6162,1.08701,0.69823,1.27908,0.000271837,0.000271837,0.000271837
10,333.374,1.2169,1.09934,1.24376,0.9317,0.91013,0.94515,0.64765,1.15233,0.69226,1.30277,0.000265441,0.000265441,0.000265441
11,366.126,1.21239,1.07141,1.25434,0.89003,0.95286,0.96118,0.67376,1.09655,0.66329,1.29297,0.000259046,0.000259046,0.000259046
12,399.075,1.20056,1.04064,1.2449,0.94303,0.90705,0.96677,0.68469,1.09181,0.64171,1.28791,0.000252651,0.000252651,0.000252651
13,429.036,1.17354,0.99526,1.22169,0.90507,0.9602,0.97582,0.70052,1.07312,0.62569,1.27191,0.000246255,0.000246255,0.000246255
14,463.704,1.18284,0.98683,1.22794,0.87045,0.96773,0.97667,0.7027,1.06651,0.6195,1.2554,0.00023986,0.00023986,0.00023986
15,496.848,1.179,0.98784,1.22482,0.92277,0.9536,0.97203,0.70443,1.05783,0.60381,1.25388,0.000233464,0.000233464,0.000233464
16,529.093,1.17708,0.95025,1.22033,0.9419,0.97189,0.97711,0.70224,1.08129,0.61328,1.27224,0.000227069,0.000227069,0.000227069
17,558.991,1.18321,0.97147,1.22735,0.95831,0.93675,0.97363,0.6975,1.07644,0.60769,1.28243,0.000220674,0.000220674,0.000220674
18,590.851,1.14861,0.90665,1.2055,0.94185,0.9591,0.97733,0.69099,1.10121,0.59669,1.28826,0.000214278,0.000214278,0.000214278
19,623.726,1.16583,0.9168,1.21125,0.94514,0.97186,0.97829,0.70867,1.0824,0.58454,1.25675,0.000207883,0.000207883,0.000207883
20,654.499,1.15487,0.91581,1.21519,0.96595,0.96729,0.97732,0.70513,1.07956,0.58657,1.2679,0.000201487,0.000201487,0.000201487
21,685.535,1.15614,0.89088,1.20638,0.96093,0.97324,0.9786,0.69353,1.07571,0.58341,1.26786,0.000195092,0.000195092,0.000195092
22,721.367,1.16762,0.88909,1.21124,0.94835,0.97347,0.98187,0.72337,1.06289,0.56854,1.25391,0.000188697,0.000188697,0.000188697
23,754.181,1.14866,0.87692,1.20164,0.96723,0.97054,0.98177,0.70493,1.06183,0.56224,1.26417,0.000182301,0.000182301,0.000182301
24,784.65,1.14818,0.87284,1.2059,0.96215,0.96415,0.98183,0.70573,1.07627,0.5672,1.26409,0.000175906,0.000175906,0.000175906
25,815.299,1.14925,0.86921,1.20369,0.9705,0.96256,0.98249,0.71879,1.05114,0.5447,1.25753,0.00016951,0.00016951,0.00016951
26,848.376,1.14864,0.85893,1.20284,0.96587,0.96819,0.98187,0.7057,1.06993,0.55405,1.25293,0.000163115,0.000163115,0.000163115
27,881.732,1.12781,0.83704,1.18575,0.96046,0.97507,0.98246,0.71644,1.0449,0.54551,1.25321,0.00015672,0.00015672,0.00015672
