epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9179,1.3495,2.72114,1.17388,0.93471,0.0441,0.53615,0.31999,1.15564,3.50509,1.06872,0.000655556,0.000655556,0.000655556
2,74.3422,1.29817,1.73579,1.12402,0.9335,0.64792,0.7856,0.44758,1.38573,2.1352,1.16573,0.00129604,0.00129604,0.00129604
3,103.094,1.32157,1.42283,1.13968,0.79636,0.56615,0.62506,0.35901,1.51912,1.85316,1.27904,0.00191013,0.00191013,0.00191013
4,132.438,1.33254,1.23226,1.13765,0.8595,0.79385,0.85052,0.53143,1.32243,1.15127,1.22199,0.0018812,0.0018812,0.0018812
5,163.049,1.25008,1.01425,1.12785,0.90719,0.82154,0.86407,0.55156,1.22848,1.29102,1.13258,0.0018416,0.0018416,0.0018416
6,190.393,1.22548,0.92205,1.12953,0.91848,0.86769,0.89051,0.55142,1.26933,0.80581,1.16759,0.001802,0.001802,0.001802
7,221.698,1.19406,0.89488,1.10474,0.92905,0.84606,0.88758,0.60136,1.14714,0.78445,1.09084,0.0017624,0.0017624,0.0017624
8,252.582,1.1992,0.83199,1.1101,0.95125,0.85231,0.88185,0.56229,1.21429,0.77189,1.10217,0.0017228,0.0017228,0.0017228
9,280.061,1.1204,0.76343,1.0781,0.95734,0.88615,0.90684,0.60304,1.17156,0.67801,1.07309,0.0016832,0.0016832,0.0016832
10,311.037,1.16656,0.77377,1.07592,0.94117,0.88923,0.90802,0.59801,1.1959,0.71421,1.10394,0.0016436,0.0016436,0.0016436
11,339.373,1.11732,0.73549,1.06827,0.95659,0.89231,0.91001,0.59887,1.17692,0.66772,1.0912,0.001604,0.001604,0.001604
12,369.722,1.09891,0.71549,1.0605,0.94724,0.88923,0.90513,0.59258,1.12067,0.69499,1.06521,0.0015644,0.0015644,0.0015644
13,400.763,1.12585,0.71194,1.0865,0.9307,0.88308,0.90954,0.63189,1.1141,0.6575,1.06048,0.0015248,0.0015248,0.0015248
14,427.831,1.11148,0.70706,1.07022,0.96016,0.87077,0.90829,0.60425,1.10876,0.66364,1.06148,0.0014852,0.0014852,0.0014852
15,458.443,1.08646,0.69013,1.06156,0.95654,0.84,0.89952,0.61983,1.12069,0.68459,1.06358,0.0014456,0.0014456,0.0014456
16,488.548,1.0902,0.68389,1.06439,0.95435,0.90052,0.93041,0.65285,1.03905,0.5674,1.03226,0.001406,0.001406,0.001406
17,517.09,1.08591,0.65522,1.04812,0.96142,0.90154,0.94301,0.64358,1.06326,0.5802,1.03803,0.0013664,0.0013664,0.0013664
18,547.983,1.05825,0.63783,1.03717,0.95438,0.90108,0.93305,0.65133,1.08926,0.59207,1.04892,0.0013268,0.0013268,0.0013268
19,576.108,1.05666,0.64135,1.03549,0.95643,0.87807,0.92335,0.62809,1.09674,0.61024,1.04144,0.0012872,0.0012872,0.0012872
20,606.137,1.04888,0.63008,1.04607,0.96581,0.90769,0.93111,0.65488,1.02618,0.5727,1.02864,0.0012476,0.0012476,0.0012476
21,637.302,1.03473,0.61567,1.0265,0.94099,0.90154,0.92338,0.6602,1.02234,0.58426,1.02,0.001208,0.001208,0.001208
22,663.995,1.05195,0.63296,1.04636,0.96159,0.88923,0.92649,0.65679,1.01342,0.55329,1.04101,0.0011684,0.0011684,0.0011684
23,695.009,0.98298,0.60419,1.02697,0.96559,0.90154,0.9351,0.65521,1.0481,0.55146,1.01988,0.0011288,0.0011288,0.0011288
24,724.468,1.02162,0.59431,1.02573,0.96925,0.88923,0.93117,0.65124,1.10081,0.55491,1.05104,0.0010892,0.0010892,0.0010892
25,753.34,0.99101,0.58058,1.0221,0.96009,0.90462,0.94512,0.68711,0.97412,0.50759,1.00066,0.0010496,0.0010496,0.0010496
26,785.011,0.95989,0.56375,1.00125,0.96297,0.90154,0.93667,0.66456,0.99836,0.51348,1.0129,0.00101,0.00101,0.00101
27,812.419,0.98568,0.56763,1.01826,0.95738,0.90769,0.93697,0.6699,1.0025,0.52269,1.00562,0.0009704,0.0009704,0.0009704
28,843.052,0.99393,0.57986,1.02256,0.95547,0.90462,0.93948,0.68563,1.00383,0.52331,1.00731,0.0009308,0.0009308,0.0009308
29,873.247,0.96546,0.56163,1.00385,0.96727,0.88923,0.93258,0.63046,1.08145,0.54961,1.04741,0.0008912,0.0008912,0.0008912
30,900.976,0.96725,0.54168,1.00618,0.95312,0.90769,0.92956,0.67583,0.98163,0.51668,0.9961,0.0008516,0.0008516,0.0008516
31,932.15,0.9476,0.54234,0.99628,0.94912,0.91841,0.94952,0.67886,1.02544,0.52082,1.00838,0.000812,0.000812,0.000812
32,959.671,0.93072,0.53345,0.98776,0.96411,0.90769,0.94467,0.69349,0.96842,0.49131,0.98639,0.0007724,0.0007724,0.0007724
33,990.782,0.9425,0.51906,1.0017,0.96519,0.90154,0.94657,0.68663,1.00592,0.48648,0.99454,0.0007328,0.0007328,0.0007328
34,1021.43,0.9396,0.51632,1.00112,0.96398,0.90591,0.94917,0.67665,0.9866,0.48758,1.00609,0.0006932,0.0006932,0.0006932
35,1049.89,0.95128,0.51014,1.00006,0.96701,0.90769,0.93354,0.66212,1.01597,0.49361,1.01283,0.0006536,0.0006536,0.0006536
